p,rate_0.05,rate_0.10,rate_0.20
0.191219,0.367723,2.408372,6.332494
0.191987,0.35754,2.365016,6.343049
0.192755,0.347616,2.322215,6.352624
0.193523,0.337945,2.27997,6.361222
0.19429,0.328522,2.23828,6.368845
0.195058,0.31934,2.197143,6.375494
0.195826,0.310395,2.156557,6.381173
0.196594,0.30168,2.116521,6.385885
0.197362,0.293191,2.077034,6.389634
0.19813,0.284922,2.038093,6.392423
0.198898,0.276869,1.999695,6.394257
0.199666,0.269025,1.961839,6.395141
0.200434,0.261387,1.924522,6.39508
0.201202,0.25395,1.887742,6.394079
0.20197,0.246708,1.851494,6.392144
0.202738,0.239657,1.815778,6.389281
0.203506,0.232793,1.780588,6.385497
0.204274,0.226112,1.745923,6.380799
0.205042,0.219608,1.711778,6.375193
0.20581,0.213277,1.678151,6.368687
0.206578,0.207116,1.645037,6.361288
0.207346,0.20112,1.612433,6.353006
0.208114,0.195286,1.580335,6.343847
0.208881,0.189608,1.548739,6.333821
0.209649,0.184085,1.517641,6.322937
0.210417,0.17871,1.487038,6.311202
0.211185,0.173482,1.456924,6.298628
0.211953,0.168397,1.427296,6.285223
0.212721,0.16345,1.39815,6.270998
0.213489,0.158639,1.36948,6.255962
0.214257,0.15396,1.341282,6.240126
0.215025,0.149409,1.313553,6.223499
0.215793,0.144984,1.286287,6.206094
0.216561,0.140682,1.259479,6.187921
0.217329,0.136498,1.233126,6.16899
0.218097,0.132431,1.207222,6.149314
0.218865,0.128477,1.181762,6.128903
0.219633,0.124634,1.156742,6.107769
0.220401,0.120898,1.132157,6.085925
0.221169,0.117267,1.108002,6.063381
0.221937,0.113738,1.084272,6.04015
0.222705,0.110309,1.060962,6.016245
0.223472,0.106976,1.038068,5.991677
0.22424,0.103738,1.015584,5.966458
0.225008,0.100592,0.993505,5.940602
0.225776,0.097535,0.971826,5.914122
0.226544,0.094565,0.950543,5.887029
0.227312,0.091681,0.92965,5.859336
0.22808,0.088879,0.909143,5.831057
0.228848,0.086157,0.889016,5.802205
0.229616,0.083514,0.869264,5.772792
0.230384,0.080947,0.849883,5.742831
0.231152,0.078454,0.830868,5.712337
0.23192,0.076033,0.812212,5.681321
0.232688,0.073683,0.793912,5.649797
0.233456,0.071401,0.775963,5.617778
0.234224,0.069185,0.758359,5.585278
0.234992,0.067034,0.741096,5.55231
0.23576,0.064947,0.724169,5.518887
0.236528,0.06292,0.707572,5.485022
0.237295,0.060953,0.691302,5.450729
0.238063,0.059044,0.675353,5.416021
0.238831,0.057192,0.65972,5.38091
0.239599,0.055394,0.644399,5.345412
0.240367,0.05365,0.629384,5.309537
0.241135,0.051957,0.614672,5.273301
0.241903,0.050315,0.600257,5.236715
0.242671,0.048722,0.586135,5.199792
0.243439,0.047177,0.572301,5.162547
0.244207,0.045678,0.558751,5.124992
0.244975,0.044224,0.545479,5.087139
0.245743,0.042813,0.532482,5.049001
0.246511,0.041445,0.519755,5.010592
0.247279,0.040119,0.507294,4.971924
0.248047,0.038833,0.495093,4.933009
0.248815,0.037585,0.48315,4.89386
0.249583,0.036376,0.471458,4.85449
0.250351,0.035204,0.460015,4.81491
0.251119,0.034067,0.448816,4.775133
0.251886,0.032965,0.437857,4.735171
0.252654,0.031897,0.427133,4.695036
0.253422,0.030862,0.41664,4.654739
0.25419,0.029858,0.406375,4.614294
0.254958,0.028885,0.396333,4.57371
0.255726,0.027943,0.386511,4.533001
0.256494,0.02703,0.376904,4.492177
0.257262,0.026145,0.367508,4.451249
0.25803,0.025287,0.35832,4.410228
0.258798,0.024456,0.349336,4.369127
0.259566,0.023651,0.340552,4.327955
0.260334,0.022872,0.331964,4.286723
0.261102,0.022116,0.323569,4.245441
0.26187,0.021385,0.315364,4.204122
0.262638,0.020676,0.307343,4.162773
0.263406,0.01999,0.299505,4.121407
0.264174,0.019325,0.291846,4.080032
0.264942,0.018681,0.284361,4.038658
0.26571,0.018058,0.277048,3.997296
0.266477,0.017455,0.269904,3.955955
0.267245,0.01687,0.262925,3.914644
0.268013,0.016305,0.256107,3.873372
0.268781,0.015757,0.249449,3.832148
