model,population_size,sample_size,nominal_defect_rate,acceptable_defectives,first_unacceptable_defectives,accept_confidence,reject_confidence,accept_alpha,reject_alpha,accept_cutoff,reject_cutoff,accept_tail_at_cutoff,accept_tail_after_cutoff,reject_tail_at_cutoff,reject_tail_before_cutoff,inconclusive_low,inconclusive_high,accept_constraint_ok,reject_constraint_ok,accept_boundary_maximal_ok,reject_boundary_minimal_ok,disjoint_regions_ok,has_accept_region,has_reject_region,has_both_regions
binomial,,130,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,8,20,0.08808061972149146,0.15206803210561198,0.03443042711407071,0.05956528644688232,9,19,True,True,True,True,True,True,True,True
binomial,,131,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,8,20,0.08383227512877424,0.14566929086720282,0.03694391304735146,0.06340284086287246,9,19,True,True,True,True,True,True,True,True
binomial,,132,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,8,20,0.07976008140941127,0.13948558929335583,0.039589805828902876,0.06740680250575219,9,19,True,True,True,True,True,True,True,True
binomial,,133,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,8,20,0.07585865710409033,0.13351303850495821,0.042371505496587775,0.07157935200727851,9,19,True,True,True,True,True,True,True,True
binomial,,134,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,8,20,0.07212265318931482,0.12774760036487412,0.04529229014765627,0.0759224317927826,9,19,True,True,True,True,True,True,True,True
binomial,,135,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,8,20,0.06854676372802884,0.12218510564731952,0.04835530431216978,0.08043773715598786,9,19,True,True,True,True,True,True,True,True
binomial,,136,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,8,21,0.06512573562136449,0.11682127145538948,0.029747493262755633,0.051563547596552066,9,20,True,True,True,True,True,True,True,True
binomial,,137,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,8,21,0.061854377494367195,0.11165171787198608,0.031929098696135805,0.05491986364790559,9,20,True,True,True,True,True,True,True,True
binomial,,138,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,8,21,0.05872756774972451,0.10667198383422333,0.03422817519131296,0.05842692948800749,9,20,True,True,True,True,True,True,True,True
binomial,,139,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,8,21,0.05574026182446051,0.10187754222577167,0.036648050620983405,0.06208724526397686,9,20,True,True,True,True,True,True,True,True
